route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
3321,200,A3321,PORTUGALETE-ZIERBENA-LA Arena-MUSKIZ,A3321-PORTUGALETE-ZIERBENA-LA Arena-MUSKIZ,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3321&numRuta=001,9CCD64,01573C,38,1,1
3323,200,A3323,PORTUGALETE-GALDAMES,A3323-PORTUGALETE-GALDAMES,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3323&numRuta=001,9CCD64,01573C,39,1,1
3331,200,A3331,SESTAO-VALLE DE TRAPAGA TRAPAGARAN,A3331-SESTAO-VALLE DE TRAPAGA TRAPAGARAN,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3331&numRuta=001,9CCD64,01573C,40,1,1
3332,200,A3332,VALLE DE TRAPAGA TRAPAGARAN - SANTURTZI,A3332-VALLE DE TRAPAGA TRAPAGARAN - SANTURTZI,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3332&numRuta=001,9CCD64,01573C,41,1,1
3333,200,A3333,Gallarta-SANTURTZI,A3333-Gallarta-SANTURTZI,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3333&numRuta=001,9CCD64,01573C,42,1,1
3334,200,A3334,SANTURTZI-BALMASEDA,A3334-SANTURTZI-BALMASEDA,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3334&numRuta=001,9CCD64,01573C,43,1,1
3335,200,A3335,MUSKIZ-ZIERBENA-SESTAO,A3335-MUSKIZ-ZIERBENA-SESTAO,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3335&numRuta=001,9CCD64,01573C,44,1,1
3336,200,A3336,BILBAO-MUSKIZ,A3336-BILBAO-MUSKIZ,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3336&numRuta=001,9CCD64,01573C,45,1,1
3338,200,A3338,MUSKIZ-BARAKALDO-Areeta/Las Arenas,A3338-MUSKIZ-BARAKALDO-Areeta/Las Arenas,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3338&numRuta=001,9CCD64,01573C,46,1,1
3340,200,A3340,BILBAO -  ABANTO ZIERBENA - MUSKIZ (Autopista),A3340-BILBAO -  ABANTO ZIERBENA - MUSKIZ (Autopista),3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3340&numRuta=001,9CCD64,01573C,47,1,1
3341,200,A3341,BILBAO-Sodupe-Arrespalditza/Respaldiza,A3341-BILBAO-Sodupe-Arrespalditza/Respaldiza,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3341&numRuta=001,9CCD64,01573C,48,1,1
3342,200,A3342,BILBAO-Sodupe-ARTZINIEGA,A3342-BILBAO-Sodupe-ARTZINIEGA,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3342&numRuta=001,9CCD64,01573C,49,1,1
3343,200,A3343,BILBAO - Sodupe - GORDEXOLA,A3343-BILBAO - Sodupe - GORDEXOLA,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3343&numRuta=001,9CCD64,01573C,50,1,1
3411,200,A3411,BILBAO-GETXO-Azkorri,A3411-BILBAO-GETXO-Azkorri,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3411&numRuta=001,9CCD64,01573C,51,1,1
3414,200,A3414,BILBAO-GETXO (Artxandako tuneletatik/por túneles Artxanda),A3414-BILBAO-GETXO (Artxandako tuneletatik/por túneles Artxanda),3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3414&numRuta=001,9CCD64,01573C,52,1,1
3422,200,A3422,AREETA/LAS ARENAS-BERANGO (Artea m.g/CC Artea),A3422-AREETA/LAS ARENAS-BERANGO (Artea m.g/CC Artea),3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3422&numRuta=001,9CCD64,01573C,53,1,1
3451,200,A3451,AREETA/LAS ARENAS-ARMINTZA,A3451-AREETA/LAS ARENAS-ARMINTZA,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3451&numRuta=001,9CCD64,01573C,54,1,1
3471,200,A3471,GETXO-GURUTZETA/CRUCES (Faduratik/Por Fadura),A3471-GETXO-GURUTZETA/CRUCES (Faduratik/Por Fadura),3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3471&numRuta=001,9CCD64,01573C,55,1,1
3472,200,A3472,GETXO-GURUTZETA/CRUCES (Areetatik/desde las Arenas),A3472-GETXO-GURUTZETA/CRUCES (Areetatik/desde las Arenas),3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3472&numRuta=001,9CCD64,01573C,56,1,1
3499,200,A3499,PLENTZIA-GORLIZ,A3499-PLENTZIA-GORLIZ,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3499&numRuta=001,9CCD64,01573C,57,1,1
3512,200,A3512,BILBAO - LEKEITIO (Autopista),A3512-BILBAO - LEKEITIO (Autopista),3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3512&numRuta=001,9CCD64,01573C,58,1,1
3513,200,A3513,BILBAO-Galdakao Ospitalea-GERNIKA LUMO-EA-LEKEITIO,A3513-BILBAO-Galdakao Ospitalea-GERNIKA LUMO-EA-LEKEITIO,3,https://web.bizkaia.eus/eu/web/bizkaibus/detalle-de-linea?linea=A3513&numRuta=001,9CCD64,01573C,59,1,1
